average_price,loupan_type,loupan_detailAddress,loupan_title,loupan_region
17000,住宅,岳麓-岳麓区枫林路与银盆南路交汇处西北角（交警大楼西侧）,绿地湖湘中心,岳麓
9200,住宅,岳麓-岳麓区梅溪湖枫林三路与长东路交汇处东南角（涉外经济学院旁边）,弘德西街好莱城,岳麓
7000,住宅,岳麓-岳麓区桐梓坡西路319号,可可小城,岳麓
7400,住宅,开福-开福区万家丽北路212号（月湖公园以南）,威尔士春天,开福
7000,住宅,岳麓-岳麓区长沙绕城高速九龙领仕汇,九龙领仕汇,岳麓
6800,住宅,天心-天心区书院路579号,融源及第,天心
9000,住宅,岳麓-岳麓区西湖文化公园北面（望月公园西侧）,蓝光雍锦阁,岳麓
10800,住宅,岳麓-岳麓区梅溪湖东方红路与东雷路交汇处（步步高新天地以南）,梅溪鑫苑名家,岳麓
9500,住宅,岳麓-岳麓区西二环与枫林路交汇处,望兴西西里,岳麓
14000,别墅,望城-望城区金星北路四段229号,盈峰翠邸,望城
7000,住宅,岳麓-岳麓区西二环一段612号,麓山翰林苑,岳麓
9500,住宅,开福-开福区创远路1号（鹅羊山东南角）,湘江壹号三期,开福
8200,住宅,天心-天心区竹塘西路378号（铁道学院对面）,长盛岚庭,天心
15000,商业类,岳麓-岳麓区环湖路与麓云路交汇处（梅溪湖大桥以西）,天祥水晶湾,岳麓
8100,住宅,天心-天心区南二环二段282号,江南华府,天心
7600,住宅,岳麓-岳麓杜鹃路与西二环交汇处西南角（雷锋大道站地铁口旁）,盛世耀凯,岳麓
7500,住宅,岳麓-岳麓西二环与杜鹃路交汇西北角（市政府北侧沿杜鹃路向西约两公里）,奥克斯缔壹城,岳麓
20000,住宅,天心-天心区湘江南路36号(猴子石南)万科紫台内,万科紫台,天心
8000,住宅,芙蓉-芙蓉区浏阳河东远大路和双杨路交汇处西北角（汽车东站步步高斜对面）,芙蓉万国城MOMA,芙蓉
9800,住宅,天心-天心区书院南路南二环二段306号,兴威帕克水岸,天心
4000,住宅,天心-天心区芙蓉南路与伊莱克斯大道交汇处西南角,鑫天格林香山,天心
5000,住宅,望城-望城区雷锋大道与同心路交汇处西行500米（望城经开区管委会旁）,绿地香树花城,望城
12500,住宅,开福-开福区湘江北路三段1200号（新河三角洲湘江和浏阳河交汇处）,北辰三角洲C2区,开福
8650,住宅,天心-天心区南湖路与书院南路交汇处东南角（长沙理工大学与邮电学院中间）,荣盛花语书苑,天心
8400,住宅,开福-开福区湘江北路与高冲路交汇处东北角（鹅羊山东南角）,绿地海外滩,开福
8500,住宅,天心-竹塘西路228号,剑桥名门,天心
8000,住宅,长沙县-经济开发区开元路与东四线交汇处西北角（易初莲花东侧）,恒基凯旋门,长沙县
8800,住宅,岳麓-岳麓区谷丰中路209号 （岳麓区政府西侧，含光路与谷丰路交汇处西南角）,荣泰广场,岳麓
7700,住宅,望城-望城区银星路乾源国际广场,乾源国际广场,望城
9500,住宅,岳麓-岳麓区枫林三路与麓云路交汇处东北角（城西车辆监测站旁）,高盛华成,岳麓
6200,住宅,开福-开福区福元中路66号美利新世界,美利新世界,开福
9500,住宅,岳麓-岳麓区梅溪湖映日路与看云路交汇处西北角（长郡梅溪湖中学旁）,合能璞丽,岳麓
10000,住宅,雨花-雨花区万家丽路与朝晖路交汇处（上河国际广场对面）,金地格林公馆,雨花
15000,住宅,岳麓-岳麓区潇湘中路355号,万科金域缇香,岳麓
12200,住宅,岳麓-岳麓区梅溪湖路与环湖路交汇处东南角（岳麓山桃花岭公园正门北侧）,佳兆业云顶梅溪湖,岳麓
7500,住宅,开福-开福区秀峰路80号（芙蓉北路与秀峰路交汇处东南角）,中国铁建山语城三期,开福
9500,住宅,岳麓-岳麓区汽车西站南园路128号,麓山枫情二期,岳麓
7700,住宅,雨花-雨花区湘府东路与万家丽路交汇东行600米,长房半岛蓝湾,雨花
9000,住宅,雨花-雨花区汇金路199号（汽车南站往南800米）,丰园城,雨花
11500,住宅,岳麓-岳麓区沐风路与东方红路交汇处东北角（长郡梅溪湖中学对面）,中国铁建梅溪青秀,岳麓
8750,住宅,雨花-雨花区香樟东路299号（香樟东路南雅中学对面）,万里时代广场,雨花
12000,住宅,岳麓-岳麓区映日路与看云路交汇处东南角（梅溪湖CBD梅岭公园）,惠天然梅岭国际,岳麓
